user_id,income_volatility,spending_bias,paycheck_frequency,liquidity_buffer,credit_limit,repayment_discipline
0,0.35958241942238534,1.1023343848763303,14,187.91799623018954,1344.0173758903477,0.8746693514951732
1,0.22555137590082092,1.2322641331279813,7,124.27058169225833,1618.4936238177615,0.928228798967005
2,0.39343916796455297,0.9669105446937512,7,58.31169685376648,1308.4422805536128,0.9839860744900542
3,0.3289472116237456,0.9912867953813591,14,28.008447632298925,1313.6329679672026,0.8546562751934634
4,0.08767093915505982,1.1654553325341768,1,174.18193194352128,1212.849463579273,0.7611231023869359
5,0.4402489406547024,1.0275930416342336,14,124.12958644936799,1118.0272343421968,0.6746743228442003
6,0.3544558807961412,1.13145789190208,7,97.72716091700853,1159.4663733390205,0.6823580925190229
7,0.36442572211078156,1.0068692590041164,1,365.6507383357931,1233.8564963113824,0.8274957091601374
8,0.10124545307021836,0.8969728138157153,1,170.12091861687193,1629.5249990599555,0.9247785623877247
9,0.23015437515822684,1.135341729251455,14,332.40515207123104,1140.0715553672997,0.8940372052219197
10,0.19831920969303252,0.8590198261331196,7,116.00973807807641,1213.1530189778452,0.5548743202927107
11,0.4207059955394407,0.8893626485890886,14,209.37315405583882,983.6555848983728,0.6940839355356692
12,0.3075460480322658,1.082071242252894,14,173.3428780492398,1379.1577666182889,0.7258225880906459
13,0.379104645308332,1.1362714100864313,7,20.0,1541.6697946795707,0.4773677519186596
14,0.22736567953093245,1.2026095490905169,7,351.4005967516695,1606.124461489189,0.611992940959536
15,0.14089548871391078,0.9226639238371512,14,163.7815671561101,1250.8411311739276,0.8002954806888365
16,0.27183391480633395,0.8498259163702495,14,269.57018635595523,1343.5885708198089,0.6737423682152865
17,0.07552690244167014,1.2302209967851832,1,89.75655330461288,1161.6124194574904,0.8392907618744098
18,0.38105246879703286,0.8694903896099642,7,160.21867421042825,1332.0046699236307,0.9219309033135298
19,0.3026657596488259,0.8889501420145878,7,75.97771680919743,1278.4912881248035,0.2681975593654473
20,0.35323509603414954,0.9310982541013096,7,328.3198179316072,1214.5660968128718,0.8028275455835129
21,0.19181038725194738,1.0382261093118295,14,217.3691216940811,1234.4384230692824,0.8029885577111835
22,0.4382792097579613,1.197271504715335,7,224.04642320170657,1312.9805708484123,0.7901145131955721
23,0.4072484485288791,1.14224571022844,7,342.9820976525975,1126.461891288609,0.7905749845385109
24,0.36135339882950474,1.1186708992291858,7,318.76095562788277,1139.3758019804916,0.8696872335056992
25,0.12785548314078704,0.8788312555352017,1,271.84110433635425,1626.8405034178884,0.7951583274121737
26,0.23668840149081366,0.9609571841866884,7,20.0,1877.6366922115958,0.7861307058846351
27,0.06752150631489151,1.015282216739005,14,96.51850565799796,898.908262866489,0.5713593817350288
28,0.11171579682701914,0.8663416790685137,7,59.533423678637675,885.1321989059853,0.7509728582303989
29,0.32321958129698186,0.9230433659570026,7,267.3040432350959,960.7117930479626,0.48975717120777523
30,0.34790486236312684,0.9387499417787799,14,200.47823301000616,1174.1778962403612,0.5660377009416433
31,0.437003892973684,0.8572742892480677,1,20.0,1423.9451277593143,0.5291160202099924
32,0.1803301432552608,1.0476078613587159,7,157.35069443865268,1347.8132355120679,0.4254919048854068
33,0.19818388241394758,1.1172626884358867,7,20.0,1243.007784195117,0.7292005617127061
34,0.2378223245103232,0.8314692341645876,14,173.6212214316288,1332.2338867394747,0.7791984333412267
35,0.12578854363371428,1.0165053957934174,14,20.0,1026.9784608429077,0.42836916318896523
36,0.10196860213418867,1.1519950378705077,7,243.45929920615356,1138.9693070618453,0.6408466804357239
37,0.24028197049037353,1.1365955580286011,1,225.3555151240888,1194.9763629060508,0.70103384289815
38,0.14076373962035366,1.1667828932984394,7,408.9538192016258,803.9459152820368,0.5262294205947906
39,0.3179255978730041,1.001708284926773,7,281.7447947396811,909.672448819351,0.8480318614614087
40,0.2248607675489323,1.1692506871879373,7,129.2502893012997,919.6084846805852,0.9070669149745264
41,0.383071278423135,0.9083388820464213,14,278.1684111929383,1391.0270559209437,0.6789711561059613
42,0.33010604080089967,0.9623647526378819,14,20.0,1261.338737143104,0.7272670817994729
43,0.17494665655281644,0.8793600093880106,7,64.50328755826975,1352.7653000184857,0.7224184444730611
44,0.3829039205580804,1.0103680427428574,14,219.9771038490132,740.086252549384,0.591141739399685
45,0.37190574299872076,0.9764270100869494,14,20.0,829.1083284870992,0.6081443924925285
46,0.20499135161206977,0.9084172023864405,7,175.54070580793405,1365.803860064124,0.33290068967978975
47,0.16533124157209766,1.1383013191538516,7,57.56840494578951,505.33258958348733,0.8656000042030156
48,0.3229982015899902,0.941231047450241,14,192.15684661839163,1506.157339399951,0.7926567178150808
49,0.10590099344372393,0.9227619485656261,7,50.6716370343284,744.1707141193025,0.9467066547316794
